Thu Jan 22 22:12:04 MSK 2026,24.8,23.0
Thu Jan 22 22:12:06 MSK 2026,24.8,23.0
Thu Jan 22 22:12:08 MSK 2026,24.8,23.0
Thu Jan 22 22:12:10 MSK 2026,24.8,23.0
Thu Jan 22 22:12:12 MSK 2026,24.8,23.0
Thu Jan 22 22:12:14 MSK 2026,24.8,23.0
Thu Jan 22 22:12:16 MSK 2026,24.8,23.0
Thu Jan 22 22:12:18 MSK 2026,24.8,23.0
Thu Jan 22 22:12:20 MSK 2026,24.8,23.0
Thu Jan 22 22:12:22 MSK 2026,24.8,23.0
Thu Jan 22 22:12:24 MSK 2026,24.8,23.0
Thu Jan 22 22:12:26 MSK 2026,24.8,23.0
Thu Jan 22 22:12:28 MSK 2026,24.8,23.0
Thu Jan 22 22:12:30 MSK 2026,24.8,23.0
Thu Jan 22 22:12:32 MSK 2026,24.8,23.0
Thu Jan 22 22:12:34 MSK 2026,24.8,23.0
Thu Jan 22 22:12:36 MSK 2026,24.8,23.0
Thu Jan 22 22:12:38 MSK 2026,24.8,23.0
Thu Jan 22 22:12:40 MSK 2026,24.9,23.0
Thu Jan 22 22:12:42 MSK 2026,25.0,23.0
Thu Jan 22 22:12:44 MSK 2026,25.1,23.0
Thu Jan 22 22:12:47 MSK 2026,25.2,23.0
Thu Jan 22 22:12:49 MSK 2026,25.3,23.0
Thu Jan 22 22:12:51 MSK 2026,25.3,23.0
Thu Jan 22 22:12:53 MSK 2026,25.3,23.0
Thu Jan 22 22:12:55 MSK 2026,25.3,23.0
Thu Jan 22 22:12:57 MSK 2026,25.3,23.0
Thu Jan 22 22:12:59 MSK 2026,25.3,23.0
Thu Jan 22 22:13:01 MSK 2026,25.3,23.0
Thu Jan 22 22:13:03 MSK 2026,25.3,24.0
Thu Jan 22 22:13:05 MSK 2026,25.3,27.0
Thu Jan 22 22:13:07 MSK 2026,25.3,31.0
Thu Jan 22 22:13:09 MSK 2026,25.3,33.0
Thu Jan 22 22:13:11 MSK 2026,25.3,34.0
Thu Jan 22 22:13:13 MSK 2026,25.3,35.0
Thu Jan 22 22:13:15 MSK 2026,25.3,36.0
Thu Jan 22 22:13:17 MSK 2026,25.3,37.0
Thu Jan 22 22:13:19 MSK 2026,25.3,39.0
Thu Jan 22 22:13:21 MSK 2026,25.3,41.0
Thu Jan 22 22:13:23 MSK 2026,25.3,43.0
Thu Jan 22 22:13:25 MSK 2026,25.3,44.0
Thu Jan 22 22:13:27 MSK 2026,25.3,46.0
Thu Jan 22 22:13:29 MSK 2026,25.8,48.0
Thu Jan 22 22:13:31 MSK 2026,25.8,47.0
Thu Jan 22 22:13:33 MSK 2026,25.8,46.0
Thu Jan 22 22:13:35 MSK 2026,25.8,45.0
Thu Jan 22 22:13:37 MSK 2026,25.8,44.0
Thu Jan 22 22:13:39 MSK 2026,25.8,43.0
Thu Jan 22 22:13:41 MSK 2026,25.8,43.0
Thu Jan 22 22:13:43 MSK 2026,25.8,42.0
Thu Jan 22 22:13:45 MSK 2026,25.8,41.0
Thu Jan 22 22:13:47 MSK 2026,25.8,40.0
Thu Jan 22 22:13:49 MSK 2026,25.8,39.0
Thu Jan 22 22:13:51 MSK 2026,25.8,39.0
Thu Jan 22 22:13:53 MSK 2026,25.8,38.0
Thu Jan 22 22:13:55 MSK 2026,25.8,38.0
Thu Jan 22 22:13:57 MSK 2026,25.8,37.0
Thu Jan 22 22:13:59 MSK 2026,25.8,37.0
Thu Jan 22 22:14:02 MSK 2026,25.8,36.0
Thu Jan 22 22:14:04 MSK 2026,25.8,36.0
Thu Jan 22 22:14:06 MSK 2026,25.8,35.0
Thu Jan 22 22:14:08 MSK 2026,25.8,35.0
Thu Jan 22 22:14:10 MSK 2026,25.8,34.0
Thu Jan 22 22:14:12 MSK 2026,25.8,34.0
Thu Jan 22 22:14:14 MSK 2026,25.8,34.0
Thu Jan 22 22:14:16 MSK 2026,25.8,34.0
Thu Jan 22 22:14:18 MSK 2026,25.8,33.0
Thu Jan 22 22:14:20 MSK 2026,25.8,33.0
Thu Jan 22 22:14:22 MSK 2026,25.8,33.0
Thu Jan 22 22:14:24 MSK 2026,25.8,33.0
Thu Jan 22 22:14:26 MSK 2026,25.8,33.0
Thu Jan 22 22:14:28 MSK 2026,25.8,34.0
Thu Jan 22 22:14:30 MSK 2026,25.8,37.0
Thu Jan 22 22:14:32 MSK 2026,25.8,40.0
Thu Jan 22 22:14:34 MSK 2026,25.8,42.0
Thu Jan 22 22:14:36 MSK 2026,25.8,43.0
Thu Jan 22 22:14:38 MSK 2026,25.8,48.0
Thu Jan 22 22:14:40 MSK 2026,25.8,57.0
Thu Jan 22 22:14:42 MSK 2026,26.2,63.0
Thu Jan 22 22:14:44 MSK 2026,26.2,69.0
Thu Jan 22 22:14:46 MSK 2026,26.7,73.0
Thu Jan 22 22:14:48 MSK 2026,27.1,76.0
Thu Jan 22 22:14:50 MSK 2026,27.1,75.0
Thu Jan 22 22:14:52 MSK 2026,26.7,73.0
Thu Jan 22 22:14:54 MSK 2026,26.7,74.0
Thu Jan 22 22:14:56 MSK 2026,26.7,73.0
